asset_id,asset_type,manufacturer,department,asset_age,usage_hours,maintenance_count,maintenance_cost,breakdown_count,last_service_days,status,warranty,failure
1,ECG Machine,Drager,Radiology,9,18825,9,4138,0,330,Working,No,1
2,Infusion Pump,GE Healthcare,Emergency,3,4315,12,11204,3,279,Under Maintenance,Yes,1
3,MRI Scanner,Mindray,Radiology,5,815,14,13583,4,171,Out of Service,Yes,1
4,Ventilator,Mindray,Operation Theatre,5,9056,6,7727,6,140,Working,Yes,1
5,Ultrasound Machine,Mindray,Emergency,8,3766,6,11952,6,64,Out of Service,Yes,1
6,Ventilator,Mindray,Radiology,6,23711,9,10345,4,108,Under Maintenance,Yes,1
7,Infusion Pump,GE Healthcare,Radiology,4,19474,8,13599,7,355,Under Maintenance,No,1
8,Patient Monitor,Siemens,Operation Theatre,2,20886,9,7845,8,354,Working,Yes,1
9,MRI Scanner,Drager,Cardiology,2,11828,15,13974,1,7,Working,No,1
10,MRI Scanner,GE Healthcare,Radiology,10,13580,14,7626,10,125,Working,No,1
11,ECG Machine,GE Healthcare,Radiology,2,13078,4,7760,10,324,Out of Service,Yes,1
12,Infusion Pump,Mindray,Cardiology,5,13411,6,5003,10,306,Under Maintenance,Yes,1
13,Defibrillator,Mindray,Radiology,10,17007,6,9270,3,224,Under Maintenance,Yes,1
14,Patient Monitor,Mindray,ICU,7,18605,15,12210,1,175,Under Maintenance,Yes,1
15,Ventilator,Philips,Emergency,9,21463,10,1562,6,242,Under Maintenance,Yes,1
16,Patient Monitor,Siemens,Emergency,10,10273,6,12965,6,58,Under Maintenance,No,1
17,Infusion Pump,Drager,ICU,7,6514,8,4768,0,15,Working,No,1
18,ECG Machine,Philips,Operation Theatre,4,10009,11,14728,2,10,Out of Service,Yes,1
19,ECG Machine,Philips,Emergency,9,21320,7,6668,5,170,Under Maintenance,Yes,1
20,Defibrillator,Mindray,Operation Theatre,7,4474,3,8938,2,140,Out of Service,Yes,1
21,Infusion Pump,Drager,Emergency,4,22935,10,7527,9,32,Under Maintenance,Yes,1
22,Ventilator,GE Healthcare,Radiology,6,12748,3,1142,6,125,Under Maintenance,No,1
23,Ultrasound Machine,GE Healthcare,Cardiology,9,15291,2,11952,10,39,Working,No,1
24,Patient Monitor,Philips,Radiology,2,18844,2,8370,1,44,Out of Service,No,1
25,Patient Monitor,Mindray,Cardiology,2,1692,6,5406,8,126,Working,Yes,1
26,ECG Machine,Philips,Cardiology,9,23519,10,5737,0,272,Working,Yes,1
27,ECG Machine,Siemens,Operation Theatre,2,3435,7,9144,7,219,Under Maintenance,No,1
28,MRI Scanner,GE Healthcare,Emergency,5,17556,14,14290,8,2,Working,No,1
29,Defibrillator,GE Healthcare,Radiology,9,16904,8,10807,6,11,Under Maintenance,Yes,1
30,Infusion Pump,Mindray,Emergency,7,22725,7,4185,5,153,Working,No,1
31,Patient Monitor,Drager,ICU,3,21544,8,7926,2,259,Under Maintenance,Yes,0
32,MRI Scanner,GE Healthcare,Cardiology,10,6536,8,6554,8,49,Out of Service,Yes,1
33,MRI Scanner,Siemens,Radiology,6,10538,7,9951,1,231,Working,Yes,1
34,Defibrillator,Philips,Cardiology,8,19332,15,10073,1,225,Working,No,1
35,Ventilator,Philips,Operation Theatre,3,23087,6,6759,1,251,Working,Yes,0
36,Defibrillator,Mindray,ICU,9,18811,2,3238,9,46,Working,Yes,1
37,ECG Machine,GE Healthcare,Operation Theatre,6,6602,12,7264,7,135,Working,Yes,1
38,Defibrillator,Drager,ICU,2,10386,4,7906,1,141,Out of Service,No,1
39,Ultrasound Machine,Drager,ICU,10,13804,9,8138,8,50,Out of Service,Yes,1
40,CT Scanner,Drager,Emergency,3,22450,11,13732,5,301,Working,Yes,1
41,Infusion Pump,GE Healthcare,Radiology,1,22264,9,12896,8,194,Out of Service,Yes,1
42,CT Scanner,Mindray,Radiology,1,12957,9,3537,2,99,Out of Service,Yes,1
43,CT Scanner,Mindray,Operation Theatre,2,14658,5,11097,0,69,Under Maintenance,No,1
44,ECG Machine,Mindray,Operation Theatre,2,19048,5,13715,4,2,Working,No,1
45,MRI Scanner,GE Healthcare,Radiology,3,23367,3,1998,7,76,Working,Yes,1
46,Patient Monitor,Drager,Cardiology,5,11522,9,14036,8,266,Under Maintenance,Yes,1
47,Infusion Pump,Siemens,Operation Theatre,10,19519,1,8629,2,17,Working,Yes,1
48,ECG Machine,GE Healthcare,ICU,2,7551,15,1623,9,229,Out of Service,No,1
49,Infusion Pump,Philips,Operation Theatre,5,23179,5,6783,4,299,Out of Service,Yes,1
50,Ultrasound Machine,Philips,Operation Theatre,7,19415,4,8330,3,283,Working,Yes,1
51,ECG Machine,GE Healthcare,Emergency,8,17800,11,4011,2,138,Out of Service,No,1
52,Infusion Pump,Mindray,Radiology,3,2559,5,2053,10,62,Out of Service,No,1
